item1,item2,correlation
donated,virudhunagar,0.49404941193019497
rights,supreme,0.49404941193019497
rights,activist,0.49367656617239547
activist,rights,0.49367656617239547
justice,court,0.4934813290881376
court,justice,0.4934813290881376
haryana,punjab,0.49201848723480085
punjab,haryana,0.49201848723480085
woman,pregnant,0.4894709697509778
pregnant,woman,0.4894709697509778
transgender,gay,0.48937069400816197
gay,transgender,0.48937069400816197
nadu,transfused,0.4866113507241896
transfused,nadu,0.4866113507241896
transfused,pregnant,0.4862144716994008
pregnant,transfused,0.4862144716994008
sattur,transfusion,0.48416483186574427
transfusion,sattur,0.48416483186574427
tamil,donor,0.48416483186574427
donor,tamil,0.48416483186574427
addicts,drug,0.48336869259528864
drug,addicts,0.48336869259528864
positive,tested,0.479884245593519
tested,positive,0.479884245593519
virudhunagar,3,0.4786835710383477
3,virudhunagar,0.4786835710383477
transgender,rights,0.4752347657693723
rights,transgender,0.4752347657693723
society,aids,0.4727380917400338
aids,society,0.4727380917400338
donated,pregnant,0.47259452835945337
pregnant,donated,0.47259452835945337
husband,woman,0.4724693378128105
woman,husband,0.4724693378128105
transfusion,pregnant,0.47162110914189925
pregnant,transfusion,0.47162110914189925
control,aids,0.4706436085788568
aids,control,0.4706436085788568
saturday,night,0.46533853600477365
night,saturday,0.46533853600477365
virudhunagar,visited,0.4644222224092607
visited,virudhunagar,0.4644222224092607
transgender,community,0.46433544065482385
community,transgender,0.46433544065482385
virudhunagar,tamil,0.46315108611707756
tamil,virudhunagar,0.46315108611707756
virudhunagar,transfused,0.46228078318798027
transfused,virudhunagar,0.46228078318798027
trafficking,bill,0.4611477209061045
bill,trafficking,0.4611477209061045
tamil,donated,0.4592793267718459
donated,tamil,0.4592793267718459
donor,pregnant,0.45843278546911514
pregnant,donor,0.45843278546911514
donated,blood,0.45486760034562695
blood,donated,0.45486760034562695
sattur,bank,0.451965392867742
bank,sattur,0.451965392867742
nadu,donor,0.4492443666064648
donor,nadu,0.4492443666064648
donor,transfused,0.44893675413741974
transfused,donor,0.44893675413741974
section,activist,0.44811097344333467
activist,section,0.44811097344333467
lake,villagers,0.44765036016269916
villagers,lake,0.44765036016269916
water,lake,0.44765036016269916
lake,water,0.44765036016269916
infected,transfusion,0.4463694542138523
transfusion,infected,0.4463694542138523
gay,sex,0.4457317372493846
sex,gay,0.4457317372493846
transfused,blood,0.4456794105478751
blood,transfused,0.4456794105478751
bank,transfusion,0.44478569508252186
transfusion,bank,0.44478569508252186
human,discrimination,0.4435355544312932
discrimination,human,0.4435355544312932
3,donated,0.44262854928228346
donated,3,0.44262854928228346
madurai,donated,0.4418444030158993
donated,madurai,0.4418444030158993
section,sexual,0.4407559898404488
sexual,section,0.4407559898404488
377,sexual,0.44048400322828396
sexual,377,0.44048400322828396
tamil,pregnant,0.4330339274848347
pregnant,tamil,0.4330339274848347
nadu,madurai,0.43228762054052255
madurai,nadu,0.43228762054052255
377,community,0.4321093009109775
community,377,0.4321093009109775
drugs,drug,0.43201695109047394
drug,drugs,0.43201695109047394
3,december,0.4313352054094489
december,3,0.4313352054094489
bank,transfused,0.431073537638715
transfused,bank,0.431073537638715
nadu,donated,0.43102253221893544
donated,nadu,0.43102253221893544
counsellors,mental,0.4298314408783606
mental,counsellors,0.4298314408783606
sattur,blood,0.42958754002584215
donor,blood,0.42958754002584215
blood,sattur,0.42958754002584215
blood,donor,0.42958754002584215
madurai,3,0.42742111407814215
3,madurai,0.42742111407814215
addiction,youth,0.4270448609884393
youth,addiction,0.4270448609884393
day,world,0.4269083382578827
world,day,0.4269083382578827
donor,transfusion,0.4268295228290114
transfusion,donor,0.4268295228290114
milk,mothers,0.4259699444015559
mothers,milk,0.4259699444015559
supreme,transgender,0.42535402076807166
transgender,supreme,0.42535402076807166
blood,pregnant,0.4244170324624344
pregnant,blood,0.4244170324624344
virudhunagar,woman,0.4214517535224079
woman,virudhunagar,0.4214517535224079
december,pregnant,0.4204491569811243
pregnant,december,0.4204491569811243
nadu,pregnant,0.4202090316165287
pregnant,nadu,0.4202090316165287
377,activist,0.41981828926204234
activist,377,0.41981828926204234
sattur,december,0.4164868800903676
december,sattur,0.4164868800903676
377,sex,0.416362431262298
sex,377,0.416362431262298
virudhunagar,nadu,0.41607142857142854
nadu,virudhunagar,0.41607142857142854
married,wife,0.4153955021931976
wife,married,0.4153955021931976
gay,sexual,0.41496872171930244
sexual,gay,0.41496872171930244
issued,donors,0.41401700243178624
donors,issued,0.41401700243178624
released,karnataka,0.41401700243178624
karnataka,released,0.41401700243178624
madurai,transfused,0.4137582064293519
transfused,madurai,0.4137582064293519
increased,deaths,0.41278402021167315
deaths,increased,0.41278402021167315
therapy,anti,0.41115109890483476
anti,therapy,0.41115109890483476
tamil,madurai,0.4109974682633932
madurai,tamil,0.4109974682633932
discrimination,stigma,0.41070466966918384
stigma,discrimination,0.41070466966918384
banks,bank,0.41051017192519057
bank,banks,0.41051017192519057
complaint,police,0.4082609467747016
police,complaint,0.4082609467747016
supreme,sexual,0.4078655587357541
sexual,supreme,0.4078655587357541
transfused,transfusion,0.40712826560868287
transfusion,transfused,0.40712826560868287
gay,community,0.4067934968298272
community,gay,0.4067934968298272
2016,virudhunagar,0.40571616300240543
virudhunagar,2016,0.40571616300240543
risk,infection,0.40558287766349954
infection,risk,0.40558287766349954
toi,told,0.40259668786977626
told,toi,0.40259668786977626
shelter,home,0.40058264603452265
home,shelter,0.40058264603452265
trafficking,rehabilitation,0.3998081381295008
rehabilitation,trafficking,0.3998081381295008
tamil,woman,0.3997524549753838
woman,tamil,0.3997524549753838
sexual,rights,0.39854896154986436
rights,sexual,0.39854896154986436
donors,units,0.3976008200446443
units,donors,0.3976008200446443
donation,bank,0.39728085205540925
bank,donation,0.39728085205540925
infected,pregnant,0.39664477698250994
pregnant,infected,0.39664477698250994
girl,married,0.3962155963302753
married,girl,0.3962155963302753
alexander,lake,0.3957728586025163
lake,alexander,0.3957728586025163
november,bank,0.3953004784520077
bank,november,0.3953004784520077
hepatitis,banks,0.3927510228797275
banks,hepatitis,0.3927510228797275
counsellor,virudhunagar,0.392137031868355
virudhunagar,counsellor,0.392137031868355
woman,transfused,0.39138290597092873
transfused,woman,0.39138290597092873
director,project,0.3898966791137295
project,director,0.3898966791137295
377,court,0.3896705196875636
court,377,0.3896705196875636
units,transfusion,0.38911692837109274
transfusion,units,0.38911692837109274
rs,lakh,0.38773415586674265
lakh,rs,0.38773415586674265
donor,3,0.38679666659438505
3,donor,0.38679666659438505
donation,banks,0.38679666659438505
banks,donation,0.38679666659438505
virudhunagar,december,0.38662954058932786
december,virudhunagar,0.38662954058932786
workers,sex,0.3855101690646581
sex,workers,0.3855101690646581
supreme,sex,0.38532756929381684
sex,supreme,0.38532756929381684
lake,week,0.38454573525291785
week,lake,0.38454573525291785
unit,donated,0.3839125172346336
donated,unit,0.3839125172346336
units,blood,0.3837956672558534
blood,units,0.3837956672558534
2016,donor,0.37939896936226297
donor,2016,0.37939896936226297
prevalence,maharashtra,0.3781612782675565
maharashtra,prevalence,0.3781612782675565
donated,woman,0.37566391084899625
woman,donated,0.37566391084899625
youth,families,0.374847967698223
families,youth,0.374847967698223
visited,sattur,0.374026632521234
sattur,visited,0.374026632521234
sexual,workers,0.3737861956379675
workers,sexual,0.3737861956379675
bench,supreme,0.3732142857142857
supreme,bench,0.3732142857142857
national,prevalence,0.3730785880809553
prevalence,national,0.3730785880809553
addiction,drug,0.3717165933882013
drug,addiction,0.3717165933882013
hope,stigma,0.3715941223711993
stigma,hope,0.3715941223711993
november,donated,0.3706523675495591
donated,november,0.3706523675495591
de,drug,0.36967435827693557
drug,de,0.36967435827693557
virudhunagar,bank,0.3693940991415483
bank,virudhunagar,0.3693940991415483
3,transfused,0.3693465776452644
transfused,3,0.3693465776452644
alexander,hope,0.3692949998347099
hope,alexander,0.3692949998347099
karnataka,prevalence,0.36842694932430897
prevalence,karnataka,0.36842694932430897
donor,woman,0.3682564941106853
woman,donor,0.3682564941106853
madurai,woman,0.3670338497387156
woman,madurai,0.3670338497387156
virudhunagar,safe,0.3663097027567544
safe,virudhunagar,0.3663097027567544
woman,transfusion,0.3658112087982286
transfusion,woman,0.3658112087982286
3,pregnant,0.3658108164879386
pregnant,3,0.3658108164879386
transfused,infected,0.3657644817599803
infected,transfused,0.3657644817599803
alexander,villagers,0.3639123666188876
alexander,water,0.3639123666188876
villagers,alexander,0.3639123666188876
water,alexander,0.3639123666188876
parents,child,0.3629349250935815
child,parents,0.3629349250935815
banks,blood,0.3629126162661182
blood,banks,0.3629126162661182
supreme,activist,0.3613342477054666
activist,supreme,0.3613342477054666
deaths,related,0.36116262484433814
deaths,18,0.36116262484433814
related,deaths,0.36116262484433814
18,deaths,0.36116262484433814
rights,human,0.36025971880415547
human,rights,0.36025971880415547
virudhunagar,blood,0.3598114585644623
blood,virudhunagar,0.3598114585644623
country,india,0.35929767714355687
india,country,0.35929767714355687
lake,body,0.35902456110631603
body,lake,0.35902456110631603
law,rights,0.3582515023102055
rights,law,0.3582515023102055
project,society,0.3580556982302794
society,project,0.3580556982302794
counselling,testing,0.35793661681986555
testing,counselling,0.35793661681986555
nadu,woman,0.35789592759015165
woman,nadu,0.35789592759015165
director,control,0.35736333632150735
control,director,0.35736333632150735
foundation,hope,0.35683425773319255
hope,foundation,0.35683425773319255
admitted,visited,0.35682141260476036
visited,admitted,0.35682141260476036
project,control,0.3564940871275829
control,project,0.3564940871275829
mp,addicts,0.3564927588143791
addicts,mp,0.3564927588143791
virudhunagar,suicide,0.3560729167616674
suicide,virudhunagar,0.3560729167616674
released,report,0.35502621552100216
report,released,0.35502621552100216
college,medical,0.3548044617744413
medical,college,0.3548044617744413
awareness,prevention,0.354261954590734
prevention,awareness,0.354261954590734
377,hope,0.3540377733736903
hope,377,0.3540377733736903
children,child,0.3536023642537457
child,children,0.3536023642537457
increased,viral,0.35340408158528414
viral,increased,0.35340408158528414
civil,start,0.35303257726315695
start,civil,0.35303257726315695
bench,377,0.3523767648799108
377,bench,0.3523767648799108
transgender,section,0.3523457678302721
section,transgender,0.3523457678302721
safe,transfusion,0.35203403078909734
transfusion,safe,0.35203403078909734
trichy,toi,0.35196131191288677
toi,trichy,0.35196131191288677
donor,safe,0.3509110239106369
safe,donor,0.3509110239106369
director,society,0.3502260852391493
society,director,0.3502260852391493
water,daily,0.35000723759370617
villagers,administration,0.35000723759370617
water,administration,0.35000723759370617
administration,villagers,0.35000723759370617
daily,water,0.35000723759370617
administration,water,0.35000723759370617
sattur,hospital,0.35000000000000003
hospital,sattur,0.35000000000000003
past,stigma,0.3499999999999999
stigma,past,0.3499999999999999
live,house,0.3499999999999999
house,live,0.3499999999999999
donor,madurai,0.34980438799864966
madurai,donor,0.34980438799864966
hepatitis,donors,0.3493478480238842
donors,hepatitis,0.3493478480238842
issued,bank,0.34891115450127064
bank,issued,0.34891115450127064
initiative,bill,0.34787375352969907
bill,initiative,0.34787375352969907
positive,hiv,0.3475605261357095
hiv,positive,0.3475605261357095
organisation,control,0.34709333726917674
control,organisation,0.34709333726917674
sattur,infected,0.3470559436661976
infected,sattur,0.3470559436661976
haryana,welfare,0.345106112179205
welfare,haryana,0.345106112179205
madurai,november,0.344718019192131
november,madurai,0.344718019192131
chief,minister,0.3445347258595324
minister,chief,0.3445347258595324
foundation,it’s,0.3439252336448599
it’s,foundation,0.3439252336448599
alcohol,diseases,0.3438907814484381
diseases,alcohol,0.3438907814484381
bank,blood,0.3434801259293503
blood,bank,0.3434801259293503
3,transfusion,0.34296568195131133
transfusion,3,0.34296568195131133
donor,bank,0.34259631124307643
bank,donor,0.34259631124307643
transfused,december,0.34236973925943887
december,transfused,0.34236973925943887
parents,children,0.34200666332402274
children,parents,0.34200666332402274
2017,data,0.3419888194281454
data,2017,0.3419888194281454
change,mumbai,0.34111851125487286
mumbai,change,0.34111851125487286
director,dr,0.3409856103132183
dr,director,0.3409856103132183
madurai,december,0.34053456487827094
december,madurai,0.34053456487827094
december,transfusion,0.34050261230349943
transfusion,december,0.34050261230349943
related,policy,0.34038889683747725
policy,related,0.34038889683747725
suicide,sattur,0.34038889683747725
suicide,donor,0.34038889683747725
sattur,suicide,0.34038889683747725
donor,suicide,0.34038889683747725
377,discrimination,0.3398203416339333
discrimination,377,0.3398203416339333
shelter,inmates,0.33954987505086615
inmates,shelter,0.33954987505086615
father,mother,0.3395247834449862
mother,father,0.3395247834449862
supreme,community,0.33933506236648997
community,supreme,0.33933506236648997
recently,antiretroviral,0.33907114487232726
antiretroviral,recently,0.33907114487232726
national,india,0.33846610234278557
india,national,0.33846610234278557
complaint,husband,0.33828812877116876
husband,complaint,0.33828812877116876
liver,organisation,0.33746850666006933
organisation,liver,0.33746850666006933
2018,total,0.3374021101903607
total,2018,0.3374021101903607
shelter,run,0.3370756180158229
run,shelter,0.3370756180158229
suicide,donated,0.33565200842592086
donated,suicide,0.33565200842592086
complaint,woman,0.33563414985689005
woman,complaint,0.33563414985689005
rights,bill,0.33546565007605833
bill,rights,0.33546565007605833
virudhunagar,action,0.33546565007605833
action,virudhunagar,0.33546565007605833
de,punjab,0.3348291487544339
punjab,de,0.3348291487544339
sex,society,0.3340560904391328
society,sex,0.3340560904391328
bench,gay,0.3340404340540402
gay,bench,0.3340404340540402
programme,control,0.33335154003474426
control,programme,0.33335154003474426
national,organisation,0.33292798359617837
organisation,national,0.33292798359617837
action,sattur,0.33290015143059165
action,donor,0.33290015143059165
sattur,action,0.33290015143059165
donor,action,0.33290015143059165
run,mental,0.33214769898133994
mental,run,0.33214769898133994
deaths,total,0.33185264444705986
total,deaths,0.33185264444705986
national,aids,0.3306142116071721
aids,national,0.3306142116071721
laboratory,tests,0.33045439806440646
tests,laboratory,0.33045439806440646
issued,transfusion,0.32965749713992665
tamil,november,0.32965749713992665
november,tamil,0.32965749713992665
transfusion,issued,0.32965749713992665
event,education,0.32962739402441904
education,event,0.32962739402441904
section,sex,0.3294744333802971
sex,section,0.3294744333802971
bank,woman,0.3293925206892147
woman,bank,0.3293925206892147
mp,de,0.329252303934259
de,mp,0.329252303934259
karnataka,report,0.3289936294775451
report,karnataka,0.3289936294775451
workers,bill,0.3286878675669583
bill,workers,0.3286878675669583
lakh,maharashtra,0.32860367934775253
maharashtra,lakh,0.32860367934775253
deaths,due,0.3285611096732871
due,deaths,0.3285611096732871
deaths,2017,0.32835487740706115
2017,deaths,0.32835487740706115
death,died,0.3281630560930387
died,death,0.3281630560930387
awareness,society,0.32770852127023353
society,awareness,0.32770852127023353
project,change,0.3267607036619845
change,project,0.3267607036619845
2018,data,0.3254711210304946
lives,parents,0.3254711210304946
data,2018,0.3254711210304946
parents,lives,0.3254711210304946
alcohol,world,0.32546713160462265
world,alcohol,0.32546713160462265
wife,husband,0.32426201097211016
husband,wife,0.32426201097211016
donors,bank,0.32415048114406897
bank,donors,0.32415048114406897
karnataka,2017,0.3240612643314893
2017,karnataka,0.3240612643314893
centres,counselling,0.3240462915942395
counselling,centres,0.3240462915942395
counsellors,3,0.32397092515026293
3,counsellors,0.32397092515026293
bench,thursday,0.32397092515026293
addiction,families,0.32397092515026293
families,addiction,0.32397092515026293
thursday,bench,0.32397092515026293
country,national,0.3237004251328176
national,country,0.3237004251328176
bank,pregnant,0.32336478633167703
pregnant,bank,0.32336478633167703
doctors,told,0.32322136329370466
told,doctors,0.32322136329370466
alcohol,increased,0.3229121521340581
increased,alcohol,0.3229121521340581
samples,test,0.3223291856101521
test,samples,0.3223291856101521
transgender,activist,0.32175396657019395
de,daily,0.32175396657019395
transgender,event,0.32175396657019395
activist,transgender,0.32175396657019395
event,transgender,0.32175396657019395
daily,de,0.32175396657019395
infected,virus,0.3217294705443515
virus,infected,0.3217294705443515
centre,medical,0.3215849445182744
medical,centre,0.3215849445182744
3,30,0.3214126157316224
30,3,0.3214126157316224
2016,sattur,0.321068247397237
sattur,2016,0.321068247397237
daily,mental,0.3208363052835496
mental,daily,0.3208363052835496
civil,jail,0.32082697272916194
jail,civil,0.32082697272916194
deaths,data,0.32051020547185277
data,deaths,0.32051020547185277
november,december,0.3201863537022073
december,november,0.3201863537022073
aids,living,0.3199260763716092
living,aids,0.3199260763716092
blood,hospital,0.31954541154631616
hospital,blood,0.31954541154631616
set,change,0.31884048390076797
event,held,0.31884048390076797
held,event,0.31884048390076797
change,set,0.31884048390076797
days,woman,0.3183808684472563
woman,days,0.3183808684472563
section,court,0.3183474200533504
court,section,0.3183474200533504
son,husband,0.3174747028061194
husband,son,0.3174747028061194
village,sunday,0.31730888973813726
sunday,village,0.31730888973813726
home,mother,0.3167757919686402
mother,home,0.3167757919686402
house,home,0.3167757919686402
home,house,0.3167757919686402
counsellor,sattur,0.3162337662337663
counsellor,donor,0.3162337662337663
sattur,counsellor,0.3162337662337663
donor,counsellor,0.3162337662337663
treatment,living,0.3160179654044435
living,treatment,0.3160179654044435
2016,donated,0.3154956102131943
donated,2016,0.3154956102131943
90,ensure,0.3153566695579076
ensure,90,0.3153566695579076
support,medicines,0.31500486330336164
medicines,support,0.31500486330336164
social,community,0.3150047097719113
community,social,0.3150047097719113
donated,testing,0.3144548883395812
testing,donated,0.3144548883395812
suicide,nadu,0.3142176676022891
nadu,suicide,0.3142176676022891
counsellors,counselling,0.3138060189189343
counselling,counsellors,0.3138060189189343
suicide,madurai,0.31371612626046985
madurai,suicide,0.31371612626046985
youth,addicts,0.31371612626046985
addicts,youth,0.31371612626046985
alexander,november,0.3134545559322776
alcohol,deaths,0.3134545559322776
alexander,foundation,0.3134545559322776
liver,diagnosed,0.3134545559322776
november,alexander,0.3134545559322776
foundation,alexander,0.3134545559322776
diagnosed,liver,0.3134545559322776
deaths,alcohol,0.3134545559322776
doctor,mumbai,0.31328950114307974
mumbai,doctor,0.31328950114307974
issued,donated,0.31328950114307974
action,visited,0.31328950114307974
visited,action,0.31328950114307974
donated,issued,0.31328950114307974
court,rights,0.31295288704199364
rights,court,0.31295288704199364
art,patients,0.3128822437759376
patients,art,0.3128822437759376
born,mother,0.31206995238964097
mother,born,0.31206995238964097
parents,born,0.31206995238964097
born,parents,0.31206995238964097
sex,community,0.3120506628875943
community,sex,0.3120506628875943
prevention,sex,0.3120506628875943
sex,prevention,0.3120506628875943
karnataka,living,0.31117737579110816
living,karnataka,0.31117737579110816
de,drugs,0.31087166269658506
drugs,de,0.31087166269658506
bank,december,0.31070811883581917
december,bank,0.31070811883581917
sattur,november,0.309577271689151
november,sattur,0.309577271689151
donor,visited,0.309577271689151
visited,donor,0.309577271689151
issued,donor,0.309577271689151
donor,issued,0.309577271689151
goa,human,0.30919875002423247
human,goa,0.30919875002423247
1,week,0.30868131177805974
week,1,0.30868131177805974
suicide,daily,0.30868131177805974
daily,suicide,0.30868131177805974
complaint,told,0.3086066999241838
told,complaint,0.3086066999241838
father,mental,0.30814539971165317
mental,father,0.30814539971165317
donated,infected,0.30795384122778474
infected,donated,0.30795384122778474
30,november,0.3077030118237902
november,30,0.3077030118237902
law,person,0.30769729502469156
person,law,0.30769729502469156
tamil,transfusion,0.30769230769230765
transfusion,tamil,0.30769230769230765
donors,tested,0.30718333773545176
madurai,infected,0.30718333773545176
madurai,blood,0.30718333773545176
donors,blood,0.30718333773545176
infected,madurai,0.30718333773545176
blood,madurai,0.30718333773545176
tested,donors,0.30718333773545176
blood,donors,0.30718333773545176
donated,report,0.3067596924570171
report,donated,0.3067596924570171
samples,blood,0.30579014548637534
blood,samples,0.30579014548637534
unit,transfused,0.30546845556914326
banks,transfused,0.30546845556914326
transfused,unit,0.30546845556914326
transfused,banks,0.30546845556914326
pradesh,increased,0.30546845556914326
increased,pradesh,0.30546845556914326
secretary,transfusion,0.30544129141995213
transfusion,secretary,0.30544129141995213
aids,people,0.3054354207201964
people,aids,0.3054354207201964
counsellors,medicines,0.30527079113032995
medicines,counsellors,0.30527079113032995
blood,tested,0.3051724137931035
tested,blood,0.3051724137931035
accused,police,0.3045938664342862
tb,programme,0.3045938664342862
programme,tb,0.3045938664342862
police,accused,0.3045938664342862
november,woman,0.30456868986839797
woman,november,0.30456868986839797
tuberculosis,mental,0.30456627810809545
mental,tuberculosis,0.30456627810809545
issue,chief,0.3039016498564097
chief,issue,0.3039016498564097
special,rehabilitation,0.3038918275463053
rehabilitation,special,0.3038918275463053
donor,december,0.30368835006589306
december,donor,0.30368835006589306
parents,mother,0.3035714285714285
mother,parents,0.3035714285714285
law,bill,0.3032827956767287
bill,law,0.3032827956767287
rights,discrimination,0.30304898121473783
discrimination,rights,0.30304898121473783
units,donated,0.30304898121473783
daily,body,0.30304898121473783
donated,units,0.30304898121473783
body,daily,0.30304898121473783
25,daily,0.30304898121473783
daily,25,0.30304898121473783
18,age,0.30276320048682176
age,18,0.30276320048682176
section,community,0.3023703143578274
community,section,0.3023703143578274
sunday,died,0.30207923614925714
died,sunday,0.30207923614925714
trichy,nadu,0.30162467340889493
nadu,trichy,0.30162467340889493
trichy,samples,0.3010717924297389
samples,trichy,0.3010717924297389
issued,banks,0.30085880499784756
banks,issued,0.30085880499784756
addicts,centres,0.3005670669198109
centres,addicts,0.3005670669198109
prevalence,india,0.30038631089254453
india,prevalence,0.30038631089254453
antiretroviral,medicines,0.3003382289756208
medicines,antiretroviral,0.3003382289756208
country,prevalence,0.30029572259425097
prevalence,country,0.30029572259425097
viral,infections,0.3002642738681512
infections,viral,0.3002642738681512
suicide,woman,0.3002636197189908
woman,suicide,0.3002636197189908
health,department,0.3002253653529365
department,health,0.3002253653529365
increased,2017,0.29999821721297104
2017,increased,0.29999821721297104
foundation,stigma,0.2997105858107051
nadu,november,0.2997105858107051
released,prevalence,0.2997105858107051
live,it’s,0.2997105858107051
november,nadu,0.2997105858107051
it’s,live,0.2997105858107051
stigma,foundation,0.2997105858107051
prevalence,released,0.2997105858107051
married,mother,0.2990845852294753
girl,mother,0.2990845852294753
son,mother,0.2990845852294753
viral,tuberculosis,0.2990845852294753
tuberculosis,viral,0.2990845852294753
mother,married,0.2990845852294753
parents,married,0.2990845852294753
mother,girl,0.2990845852294753
changed,house,0.2990845852294753
married,parents,0.2990845852294753
mother,son,0.2990845852294753
house,changed,0.2990845852294753
medicines,patients,0.2988293258901685
patients,medicines,0.2988293258901685
90,chandigarh,0.2987147035037786
chandigarh,90,0.2987147035037786
shelter,ngo,0.2986211700040758
haryana,friday,0.2986211700040758
shelter,house,0.2986211700040758
shelter,parents,0.2986211700040758
friday,haryana,0.2986211700040758
ngo,shelter,0.2986211700040758
house,shelter,0.2986211700040758
parents,shelter,0.2986211700040758
counsellors,taking,0.2981737128339957
taking,counsellors,0.2981737128339957
initiative,programme,0.29811989122273574
programme,initiative,0.29811989122273574
provide,provided,0.29795683649238003
provided,provide,0.29795683649238003
government,pregnant,0.29785394196739695
pregnant,government,0.29785394196739695
rights,community,0.2977375870413794
community,rights,0.2977375870413794
control,dr,0.2976830727636573
dr,control,0.2976830727636573
secretary,safe,0.29759862778730695
safe,secretary,0.29759862778730695
lives,brought,0.29759862778730695
brought,lives,0.29759862778730695
donated,december,0.29732610893323624
december,donated,0.29732610893323624
suicide,days,0.29686243690617437
days,suicide,0.29686243690617437
karnataka,maharashtra,0.2964272577195274
doctor,laboratory,0.2964272577195274
laboratory,doctor,0.2964272577195274
donors,donated,0.2964272577195274
donated,donors,0.2964272577195274
maharashtra,karnataka,0.2964272577195274
test,control,0.29642716289361093
control,test,0.29642716289361093
liver,data,0.2964115938151205
data,liver,0.2964115938151205
hepatitis,punjab,0.2960932840790421
punjab,hepatitis,0.2960932840790421
mental,start,0.2959094370425113
madurai,wednesday,0.2959094370425113
wednesday,madurai,0.2959094370425113
start,mental,0.2959094370425113
joint,director,0.2957919185326638
director,joint,0.2957919185326638
accused,husband,0.29561744439962057
husband,accused,0.29561744439962057
risk,sex,0.2944723618090453
sex,risk,0.2944723618090453
visited,transfused,0.2944282664704369
transfused,visited,0.2944282664704369
pradesh,released,0.2944282664704369
released,pradesh,0.2944282664704369
suicide,tamil,0.2943593629843471
tamil,suicide,0.2943593629843471
virudhunagar,secretary,0.29391403515111203
bench,secretary,0.29391403515111203
secretary,virudhunagar,0.29391403515111203
supreme,set,0.29391403515111203
space,set,0.29391403515111203
set,supreme,0.29391403515111203
set,space,0.29391403515111203
secretary,bench,0.29391403515111203
issued,authorities,0.29329812357875285
authorities,issued,0.29329812357875285
90,deaths,0.293192560773896
deaths,90,0.293192560773896
tamil,3,0.2931803410228952
3,tamil,0.2931803410228952
